fname time Tem kT_1 Nfe tau_r Wph Em t_ass rmsre 
L0112 1380406637 0 555 1.730874980E+18 1.000000000E+02 3.970616730E-04 6.506487996E-01 1.047514250E+04 7.808789223E-04 
L0112 1380406637 0 555 1.730874980E+18 1.000000000E+02 3.970616730E-04 6.506487996E-01 1.047514250E+04 7.808789223E-04 
L0120U5 1380407395 0 555 1.768144754E+19 1.000000000E+02 3.566611938E-04 6.538189664E-01 1.184047315E+04 1.262594056E-03 
L0120U5 1380407395 0 555 1.768144754E+19 1.000000000E+02 3.566611938E-04 6.538189664E-01 1.184047315E+04 1.262594056E-03 
L0122 1380406781 0 555 1.304589531E+19 1.000000000E+02 3.331919011E-04 6.548235244E-01 1.230920170E+04 1.190482075E-03 
L0122 1380406781 0 555 1.304589531E+19 1.000000000E+02 3.331919011E-04 6.548235244E-01 1.230920170E+04 1.190482075E-03 
L0204U17 1380386608 0 555 1.545347002E+19 1.000000000E+02 3.215413714E-04 6.556575010E-01 1.271240222E+04 1.472851087E-03 
L0204U17 1380386608 0 555 1.545347002E+19 1.000000000E+02 3.215413714E-04 6.556575010E-01 1.271240222E+04 1.472851087E-03 
L0205 1380384787 0 555 1.633165156E+19 1.000000000E+02 3.417526968E-04 6.560431901E-01 1.290331080E+04 1.552412024E-03 
L0205 1380384787 0 555 1.552398803E+19 1.000000000E+02 3.371621655E-04 6.556471316E-01 1.270730872E+04 1.551882548E-03 
L0208U5 1380620772 0 555 2.170291707E+19 1.000000000E+02 3.355001359E-04 6.563180245E-01 1.304109528E+04 1.311949008E-03 
L0208U5 1380620772 0 555 2.170291707E+19 1.000000000E+02 3.355001359E-04 6.563180245E-01 1.304109528E+04 1.311949008E-03 
L0225U409 1381605212 0 555 1.389009063E+19 1.000000000E+02 3.279518295E-04 6.528672955E-01 1.141289709E+04 1.285985398E-03 
L0225U409 1381605212 0 555 1.389009063E+19 1.000000000E+02 3.279518295E-04 6.528672955E-01 1.141289709E+04 1.285985398E-03 
L0302 1382194530 0 555 1.059213976E+19 1.000000000E+02 3.094813768E-04 6.528726069E-01 1.141524010E+04 1.225572355E-03 
L0302 1382194530 0 555 1.059213976E+19 1.000000000E+02 3.094813768E-04 6.528726069E-01 1.141524010E+04 1.225572355E-03 
L0325ISC 1383966508 0 555 1.353056637E+19 1.000000000E+02 2.953839794E-04 6.563094872E-01 1.303679317E+04 1.096344114E-03 
L0325ISC 1383966508 0 555 1.353056637E+19 1.000000000E+02 2.953839794E-04 6.563094872E-01 1.303679317E+04 1.096344114E-03 
L0325U409ISC 1383966508 0 555 1.143878679E+19 1.000000000E+02 2.839239569E-04 6.551805509E-01 1.248022282E+04 1.077176287E-03 
L0325U409ISC 1383966508 0 555 1.143878679E+19 1.000000000E+02 2.839239569E-04 6.551805509E-01 1.248022282E+04 1.077176287E-03 
