fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g dev 
0T01 8:45:12 295 39.3 1.000E+000 7.100E-001 9.423E-007 1.353E+004 2.691E+000 1.224E-008 3.234E-004 
0T02 8:49:30 295 39.3 1.000E+000 7.100E-001 9.514E-007 1.359E+004 2.688E+000 1.231E-008 2.914E-004 
0T03 8:53:44 295 39.3 1.000E+000 7.100E-001 9.596E-007 1.381E+004 2.693E+000 1.222E-008 3.255E-004 
0T04 8:57:20 295 39.3 1.000E+000 7.100E-001 9.570E-007 1.345E+004 2.689E+000 1.229E-008 3.289E-004 
0T05 9:05:10 295.1 39.29 1.000E+000 7.100E-001 9.738E-007 1.386E+004 2.694E+000 1.231E-008 2.923E-004 
0T06 9:08:20 295 39.3 1.000E+000 7.100E-001 9.771E-007 1.356E+004 2.688E+000 1.238E-008 3.392E-004 
0T07 9:12:54 295.2 39.28 1.000E+000 7.100E-001 1.001E-006 1.409E+004 2.694E+000 1.238E-008 2.796E-004 
0T08 9:16:30 295 39.3 1.000E+000 7.100E-001 9.617E-007 1.371E+004 2.691E+000 1.230E-008 3.416E-004 
0T09 9:18:28 295 39.3 1.000E+000 7.100E-001 9.765E-007 1.397E+004 2.693E+000 1.227E-008 5.327E-003 
0T10 9:22:42 294.9 39.32 1.000E+000 7.100E-001 9.647E-007 1.398E+004 2.692E+000 1.225E-008 2.973E-004 
0T11 9:26:22 294.9 39.32 1.000E+000 7.100E-001 9.704E-007 1.419E+004 2.695E+000 1.219E-008 2.679E-004 
0T12 9:29:44 295 39.3 1.000E+000 7.100E-001 9.934E-007 1.401E+004 2.690E+000 1.236E-008 3.214E-004 
0T13 9:32:44 295 39.3 1.000E+000 7.100E-001 9.765E-007 1.398E+004 2.693E+000 1.229E-008 2.941E-004 
