fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 Iph Voc Isc Pm FF Vm Im dev 
UDL0 9:54 299.4 38.72 1.000E+000 9.944E+000 4.076E-011 1.679E+004 2.953E+000 9.543E-006 1.728E-004 2.192E-001 1.725E-004 1.586E-005 4.193E-001 1.382E-001 1.147E-004 2.812E-003 
UDL1 9:57 299.4 38.72 1.000E+000 9.953E+000 4.105E-011 1.679E+004 2.951E+000 9.553E-006 1.723E-004 2.188E-001 1.720E-004 1.577E-005 4.190E-001 1.379E-001 1.143E-004 2.713E-002 
UDL2 10:0 299.4 38.72 1.000E+000 9.954E+000 4.130E-011 1.679E+004 2.951E+000 9.544E-006 1.722E-004 2.188E-001 1.719E-004 1.577E-005 4.191E-001 1.379E-001 1.142E-004 8.245E-003 
UDL3 10:5 299.4 38.72 1.000E+000 9.940E+000 4.167E-011 1.679E+004 2.953E+000 9.589E-006 1.722E-004 2.186E-001 1.719E-004 1.574E-005 4.188E-001 1.377E-001 1.142E-004 2.777E-003 
UDL4 10:8 299.4 38.72 1.000E+000 9.937E+000 4.170E-011 1.679E+004 2.953E+000 9.566E-006 1.714E-004 2.185E-001 1.710E-004 1.564E-005 4.186E-001 1.376E-001 1.136E-004 3.937E-003 
UDL5 10:10 299.4 38.72 1.000E+000 9.910E+000 4.153E-011 1.679E+004 2.955E+000 9.597E-006 1.721E-004 2.186E-001 1.718E-004 1.573E-005 4.188E-001 1.377E-001 1.141E-004 2.058E-003 
UDL6 10:13 299.5 38.71 1.000E+000 9.898E+000 4.183E-011 1.673E+004 2.954E+000 9.633E-006 1.721E-004 2.183E-001 1.718E-004 1.570E-005 4.185E-001 1.375E-001 1.141E-004 2.387E-003 
UDL7 10:16 299.5 38.71 1.000E+000 9.927E+000 4.251E-011 1.673E+004 2.957E+000 9.679E-006 1.724E-004 2.183E-001 1.720E-004 1.572E-005 4.184E-001 1.375E-001 1.142E-004 5.026E-003 
UDL8 10:19 299.5 38.71 1.000E+000 9.918E+000 4.206E-011 1.673E+004 2.950E+000 9.550E-006 1.724E-004 2.188E-001 1.721E-004 1.578E-005 4.191E-001 1.379E-001 1.143E-004 2.896E-003 
UDL9 10:21 299.5 38.71 1.000E+000 9.906E+000 4.250E-011 1.673E+004 2.957E+000 9.634E-006 1.723E-004 2.186E-001 1.719E-004 1.573E-005 4.186E-001 1.377E-001 1.142E-004 5.518E-003 
