fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g Iph Voc Isc Pm FF Vm Im dev 
UL010 10:44:46 302.6 38.32 1.000E+000 1.577E+000 1.474E-006 4.283E+002 2.201E+000 9.525E-008 1.777E-004 7.429E-002 1.771E-004 3.312E-006 2.518E-001 3.730E-002 8.854E-005 4.637E-003 
UL011 10:46:32 302.6 38.32 1.000E+000 1.608E+000 1.390E-006 4.290E+002 2.228E+000 8.886E-008 1.777E-004 7.432E-002 1.770E-004 3.314E-006 2.518E-001 3.730E-002 8.860E-005 4.809E-003 
UL020 11:08:16 305.8 37.91 1.000E+000 1.620E+000 1.255E-006 4.502E+002 2.307E+000 7.349E-008 1.823E-004 7.885E-002 1.816E-004 3.621E-006 2.529E-001 3.970E-002 9.097E-005 6.308E-001 
UL021 11:10:24 305.8 37.91 1.000E+000 1.585E+000 1.280E-006 4.627E+002 2.413E+000 5.517E-008 1.811E-004 7.968E-002 1.805E-004 3.645E-006 2.535E-001 4.020E-002 9.045E-005 4.508E-002 
UL030 11:33:46 308.8 37.55 1.000E+000 1.592E+000 1.385E-006 4.542E+002 2.255E+000 8.769E-008 1.806E-004 7.856E-002 1.800E-004 3.580E-006 2.532E-001 3.960E-002 9.017E-005 7.148E-001 
UL031 11:35:42 308.8 37.55 1.000E+000 1.602E+000 1.274E-006 4.553E+002 2.292E+000 8.122E-008 1.805E-004 7.854E-002 1.799E-004 3.578E-006 2.532E-001 3.960E-002 9.012E-005 9.317E-002 
UL040 11:57:24 312.5 37.1 1.000E+000 1.850E+000 1.248E-006 4.856E+002 2.422E+000 6.061E-008 1.747E-004 7.863E-002 1.740E-004 3.488E-006 2.550E-001 3.980E-002 8.742E-005 2.668E-001 
UL041 11:59:24 312.6 37.09 1.000E+000 1.865E+000 1.302E-006 4.678E+002 2.288E+000 8.530E-008 1.758E-004 7.763E-002 1.751E-004 3.452E-006 2.540E-001 3.920E-002 8.784E-005 9.425E-001 
UL050 12:20:30 316.3 36.66 1.000E+000 2.146E+000 1.799E-006 4.687E+002 2.156E+000 1.198E-007 1.670E-004 7.392E-002 1.662E-004 3.121E-006 2.540E-001 3.730E-002 8.344E-005 9.230E-003 
UL051 12:22:22 316.3 36.66 1.000E+000 2.075E+000 2.208E-006 4.651E+002 2.084E+000 1.392E-007 1.672E-004 7.384E-002 1.665E-004 3.119E-006 2.538E-001 3.720E-002 8.362E-005 2.528E-003 
UL060 12:43:52 320.2 36.21 1.000E+000 2.307E+000 1.710E-006 4.749E+002 2.162E+000 1.272E-007 1.862E-004 8.200E-002 1.853E-004 3.884E-006 2.557E-001 4.150E-002 9.337E-005 3.109E-003 
UL061 12:45:42 320.3 36.2 1.000E+000 2.244E+000 1.887E-006 4.699E+002 2.120E+000 1.420E-007 1.871E-004 8.197E-002 1.862E-004 3.899E-006 2.554E-001 4.150E-002 9.372E-005 3.151E-003 
UL070 13:11:12 323.8 35.81 1.000E+000 2.365E+000 1.441E-006 5.143E+002 2.357E+000 8.510E-008 1.843E-004 8.316E-002 1.834E-004 3.946E-006 2.588E-001 4.240E-002 9.284E-005 3.693E-002 
UL071 13:13:50 323.8 35.81 1.000E+000 2.199E+000 1.893E-006 5.016E+002 2.204E+000 1.111E-007 1.848E-004 8.295E-002 1.839E-004 3.937E-006 2.580E-001 4.230E-002 9.286E-005 1.176E+001 
UL080 13:37:14 327.5 35.4 1.000E+000 1.703E+000 2.327E-006 4.592E+002 1.996E+000 2.091E-007 1.932E-004 8.167E-002 1.925E-004 4.032E-006 2.566E-001 4.150E-002 9.693E-005 5.110E-003 
UL081 13:39:26 327.5 35.4 1.000E+000 1.709E+000 2.847E-006 4.552E+002 1.931E+000 2.423E-007 1.935E-004 8.167E-002 1.928E-004 4.034E-006 2.562E-001 4.140E-002 9.719E-005 3.948E-003 
UL090 14:00:08 331 35.03 1.000E+000 2.236E+000 1.952E-006 5.211E+002 2.236E+000 1.178E-007 1.861E-004 8.240E-002 1.852E-004 3.985E-006 2.611E-001 4.220E-002 9.421E-005 5.832E-002 
