fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g Iph Voc Isc Pm FF Vm Im dev 
US010 10:34:42 302.9 38.28 1.000E+000 1.580E+000 1.207E-006 4.365E+002 2.320E+000 7.661E-008 1.445E-005 6.199E-003 1.439E-005 2.232E-008 2.501E-001 3.100E-003 6.967E-006 3.642E-003 
US011 10:36:50 302.8 38.29 1.000E+000 1.383E+000 1.436E-006 4.362E+002 2.279E+000 8.294E-008 1.525E-005 6.550E-003 1.520E-005 2.490E-008 2.501E-001 3.300E-003 7.314E-006 8.511E-003 
US020 10:59:52 305.4 37.96 1.000E+000 1.469E+000 1.346E-006 4.434E+002 2.313E+000 8.127E-008 1.368E-005 5.949E-003 1.364E-005 2.029E-008 2.501E-001 3.000E-003 6.533E-006 2.798E-003 
US021 11:01:48 305.6 37.94 1.000E+000 1.643E+000 1.173E-006 4.439E+002 2.344E+000 7.596E-008 1.492E-005 6.485E-003 1.486E-005 2.411E-008 2.501E-001 3.200E-003 7.305E-006 7.943E-003 
US030 11:24:42 308.7 37.56 1.000E+000 1.494E+000 1.745E-006 4.523E+002 2.181E+000 1.083E-007 1.339E-005 5.934E-003 1.334E-005 1.980E-008 2.501E-001 3.000E-003 6.376E-006 2.424E-003 
US031 11:27:26 308.7 37.56 1.000E+000 1.466E+000 1.875E-006 4.523E+002 2.161E+000 1.145E-007 1.367E-005 6.064E-003 1.363E-005 2.067E-008 2.501E-001 3.000E-003 6.664E-006 2.458E-003 
US040 11:47:58 312.8 37.07 1.000E+000 1.778E+000 1.453E-006 4.631E+002 2.256E+000 9.921E-008 1.493E-005 6.712E-003 1.488E-005 2.498E-008 2.502E-001 3.400E-003 7.125E-006 9.628E-003 
US041 11:51:58 312.7 37.08 1.000E+000 1.759E+000 1.525E-006 4.628E+002 2.236E+000 1.039E-007 1.476E-005 6.639E-003 1.470E-005 2.442E-008 2.502E-001 3.300E-003 7.178E-006 2.012E-003 
US050 12:12:50 316.5 36.63 1.000E+000 2.147E+000 1.810E-006 4.724E+002 2.216E+000 1.131E-007 1.392E-005 6.348E-003 1.386E-005 2.201E-008 2.502E-001 3.200E-003 6.660E-006 2.986E-003 
US051 12:14:58 316.4 36.64 1.000E+000 2.144E+000 1.837E-006 4.721E+002 2.179E+000 1.241E-007 1.003E-005 4.587E-003 9.988E-006 1.146E-008 2.502E-001 2.300E-003 4.765E-006 2.552E-003 
US060 12:34:52 319.9 36.24 1.000E+000 2.183E+000 2.040E-006 4.804E+002 2.161E+000 1.348E-007 9.862E-006 4.557E-003 9.816E-006 1.119E-008 2.502E-001 2.300E-003 4.650E-006 2.800E-003 
US061 12:37:46 319.9 36.24 1.000E+000 2.265E+000 1.850E-006 4.804E+002 2.220E+000 1.183E-007 1.415E-005 6.507E-003 1.408E-005 2.292E-008 2.502E-001 3.300E-003 6.729E-006 1.464E-003 
US070 12:58:48 323.6 35.83 1.000E+000 2.005E+000 2.022E-006 4.885E+002 2.205E+000 1.281E-007 1.427E-005 6.609E-003 1.420E-005 2.350E-008 2.503E-001 3.300E-003 6.906E-006 3.415E-003 
US071 13:00:54 323.6 35.83 1.000E+000 2.226E+000 1.664E-006 4.885E+002 2.238E+000 1.208E-007 1.465E-005 6.772E-003 1.458E-005 2.472E-008 2.503E-001 3.400E-003 7.054E-006 3.739E-003 
US080 13:27:42 327.7 35.38 1.000E+000 1.845E+000 2.050E-006 4.965E+002 2.128E+000 1.583E-007 1.036E-005 4.851E-003 1.032E-005 1.253E-008 2.502E-001 2.400E-003 5.007E-006 2.437E-003 
US081 13:30:30 327.6 35.39 1.000E+000 1.805E+000 2.166E-006 4.963E+002 2.144E+000 1.496E-007 1.305E-005 6.089E-003 1.300E-005 1.981E-008 2.503E-001 3.000E-003 6.390E-006 2.500E-003 
US090 13:52:18 331.3 35 1.000E+000 2.264E+000 2.136E-006 5.026E+002 2.126E+000 1.631E-007 8.916E-006 4.169E-003 8.873E-006 9.258E-009 2.503E-001 2.100E-003 4.196E-006 2.827E-003 
US091 13:53:54 331.2 35.01 1.000E+000 2.254E+000 2.329E-006 5.025E+002 2.116E+000 1.657E-007 8.908E-006 4.170E-003 8.865E-006 9.250E-009 2.502E-001 2.100E-003 4.192E-006 2.775E-003 
US100 14:14:34 335.2 34.59 1.000E+000 2.522E+000 2.015E-006 5.081E+002 2.180E+000 1.565E-007 1.309E-005 6.043E-003 1.302E-005 1.970E-008 2.505E-001 3.000E-003 6.352E-006 3.481E-003 
US101 14:16:24 335.1 34.6 1.000E+000 2.329E+000 2.842E-006 5.080E+002 2.083E+000 1.824E-007 8.823E-006 4.118E-003 8.779E-006 9.047E-009 2.502E-001 2.100E-003 4.095E-006 2.648E-003 
US110 14:36:48 338.1 34.29 1.000E+000 2.747E+000 3.781E-006 5.113E+002 1.994E+000 2.198E-007 9.928E-006 4.641E-003 9.870E-006 1.147E-008 2.504E-001 2.300E-003 4.774E-006 2.416E-003 
US111 14:38:50 338.3 34.27 1.000E+000 2.752E+000 3.038E-006 5.115E+002 2.102E+000 1.799E-007 1.381E-005 6.356E-003 1.373E-005 2.186E-008 2.506E-001 3.200E-003 6.615E-006 1.551E-003 
US120 14:59:48 341.8 33.92 1.000E+000 2.482E+000 2.188E-006 5.143E+002 2.173E+000 1.727E-007 1.440E-005 6.497E-003 1.432E-005 2.333E-008 2.507E-001 3.300E-003 6.848E-006 7.423E-003 
US121 15:01:46 341.8 33.92 1.000E+000 2.348E+000 2.707E-006 5.143E+002 2.103E+000 1.901E-007 1.347E-005 6.124E-003 1.340E-005 2.057E-008 2.506E-001 3.100E-003 6.416E-006 2.238E-003 
