fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 Iph Voc Isc Pm FF Vm Im dev 
00S1 7:8 295.4 39.25 1.000E+000 2.100E+000 3.915E-011 8.115E+004 2.464E+000 1.329E-006 1.246E-005 1.385E-001 1.246E-005 6.454E-007 3.741E-001 8.350E-002 7.720E-006 1.210E-003 
00S2 7:23 297.1 39.02 1.000E+000 2.052E+000 5.122E-011 7.712E+004 2.456E+000 1.497E-006 1.270E-005 1.333E-001 1.270E-005 6.256E-007 3.694E-001 8.000E-002 7.810E-006 1.347E-003 
00S3 7:59 299 38.78 1.000E+000 2.100E+000 7.351E-011 7.317E+004 2.464E+000 1.787E-006 1.269E-005 1.249E-001 1.269E-005 5.722E-007 3.612E-001 7.410E-002 7.712E-006 1.001E-003 
00S4 8:19 301 38.52 1.000E+000 2.081E+000 1.045E-010 6.631E+004 2.467E+000 2.046E-006 1.264E-005 1.180E-001 1.264E-005 5.272E-007 3.534E-001 6.940E-002 7.585E-006 9.133E-004 
00S5 8:43 304 38.14 1.000E+000 1.977E+000 1.757E-010 5.637E+004 2.459E+000 2.466E-006 1.245E-005 1.072E-001 1.245E-005 4.564E-007 3.421E-001 6.220E-002 7.326E-006 8.888E-004 
00S6 9:1 306.4 37.84 1.000E+000 1.908E+000 2.759E-010 5.371E+004 2.471E+000 2.993E-006 1.259E-005 9.940E-002 1.259E-005 4.190E-007 3.349E-001 5.710E-002 7.325E-006 3.928E-003 
00S7 9:23 308.8 37.55 1.000E+000 1.958E+000 4.107E-010 4.931E+004 2.473E+000 3.546E-006 1.254E-005 9.146E-002 1.253E-005 3.751E-007 3.272E-001 5.200E-002 7.200E-006 1.129E-003 
00S8 9:40 310.9 37.29 1.000E+000 1.975E+000 5.588E-010 4.180E+004 2.458E+000 3.957E-006 1.249E-005 8.513E-002 1.249E-005 3.406E-007 3.204E-001 4.790E-002 7.097E-006 1.192E-003 
00S9 10:2 313.3 37.01 1.000E+000 2.204E+000 7.865E-010 3.584E+004 2.441E+000 4.526E-006 1.254E-005 7.845E-002 1.254E-005 3.088E-007 3.139E-001 4.380E-002 7.035E-006 1.948E-003 
0S10 10:21 315.5 36.75 1.000E+000 2.254E+000 1.171E-009 3.603E+004 2.464E+000 5.378E-006 1.241E-005 7.215E-002 1.241E-005 2.763E-007 3.086E-001 3.990E-002 6.908E-006 2.931E-002 
0S11 10:42 318 36.46 1.000E+000 2.193E+000 1.719E-009 3.367E+004 2.469E+000 6.454E-006 1.264E-005 6.605E-002 1.264E-005 2.534E-007 3.035E-001 3.630E-002 6.961E-006 9.580E-004 
0S12 11:1 320.1 36.22 1.000E+000 2.160E+000 2.213E-009 2.568E+004 2.432E+000 6.981E-006 1.254E-005 6.037E-002 1.254E-005 2.249E-007 2.972E-001 3.280E-002 6.837E-006 2.577E-003 
0S13 11:22 322.4 35.96 1.000E+000 2.252E+000 3.119E-009 2.527E+004 2.449E+000 8.328E-006 1.240E-005 5.454E-002 1.240E-005 1.979E-007 2.927E-001 2.940E-002 6.709E-006 9.532E-004 
0S14 11:45 325.3 35.64 1.000E+000 2.306E+000 4.621E-009 2.205E+004 2.438E+000 9.843E-006 1.261E-005 4.917E-002 1.260E-005 1.785E-007 2.881E-001 2.630E-002 6.762E-006 1.208E-003 
0S15 12:10 327.8 35.37 1.000E+000 2.426E+000 6.782E-009 2.182E+004 2.461E+000 1.202E-005 1.264E-005 4.398E-002 1.263E-005 1.579E-007 2.842E-001 2.340E-002 6.719E-006 1.191E-003 
0S16 12:28 330.2 35.11 1.000E+000 2.371E+000 8.979E-009 1.580E+004 2.402E+000 1.261E-005 1.224E-005 3.914E-002 1.223E-005 1.337E-007 2.793E-001 2.070E-002 6.425E-006 1.172E-003 
