X Y Yfit
7.700E+1 1.150E+4 1.138E+4
8.000E+1 1.080E+4 1.062E+4
8.500E+1 9.800E+3 9.527E+3
9.000E+1 9.000E+3 8.598E+3
9.500E+1 8.250E+3 7.802E+3
1.000E+2 7.500E+3 7.116E+3
1.100E+2 6.100E+3 5.996E+3
1.200E+2 5.100E+3 5.129E+3
1.300E+2 4.350E+3 4.442E+3
1.400E+2 3.650E+3 3.888E+3
1.500E+2 3.180E+3 3.435E+3
1.600E+2 2.800E+3 3.059E+3
1.700E+2 2.550E+3 2.744E+3
1.800E+2 2.320E+3 2.476E+3
1.900E+2 2.150E+3 2.247E+3
2.000E+2 2.000E+3 2.049E+3
2.100E+2 1.860E+3 1.877E+3
2.200E+2 1.730E+3 1.727E+3
2.300E+2 1.620E+3 1.594E+3
2.400E+2 1.500E+3 1.477E+3
2.500E+2 1.400E+3 1.373E+3
2.600E+2 1.310E+3 1.279E+3
2.700E+2 1.230E+3 1.195E+3
2.800E+2 1.160E+3 1.120E+3
2.900E+2 1.100E+3 1.051E+3
3.000E+2 1.050E+3 9.893E+2
